episode,protein,stage,total_reward,final_energy,rmsd,steps,clashes,policy_loss,value_loss,entropy
304,1L2Y,1,155.42,42.5691,15.5509,50,0,0,0,0
305,1L2Y,1,113.52,358.8074,13.3907,50,1,0,0,0
306,1L2Y,1,95.26,35.9526,18.5264,40,5,0,0,0
307,1L2Y,1,155.84,23.6055,26.208,50,0,0.0277,4.8857,8.1208
308,1L2Y,1,144.74,39.0681,21.6434,50,2,0,0,0
309,1L2Y,1,85.58,43.0525,14.7524,50,0,0,0,0
310,1L2Y,1,123.44,76.7434,17.9396,50,1,0,0,0
311,1L2Y,1,119.22,130.8902,16.1041,50,1,0,0,0
312,1L2Y,1,89.98,27.5088,17.4879,50,1,0.0885,6.5445,8.1227
313,1L2Y,1,99.54,370.8906,18.265,50,1,0,0,0
314,1L2Y,1,86.26,38.2177,21.3614,50,3,0,0,0
315,1L2Y,1,139.9,38.1859,11.778,50,0,0,0,0
316,1L2Y,1,46.06,493.4721,12.1016,27,5,0,0,0
317,1L2Y,1,90.88,36.7086,14.4781,50,0,0,0,0
318,1L2Y,1,105.3,323.1365,16.0975,50,1,0.0065,4.1836,8.1239
319,1L2Y,1,130.82,34.926,17.1799,50,0,0,0,0
320,1L2Y,1,109.14,49.6666,11.4772,50,2,0,0,0
321,1L2Y,1,103.84,38.8813,22.8547,50,0,0,0,0
322,1L2Y,1,93.1,140.447,13.3305,50,1,0,0,0
323,1L2Y,1,158.04,36.1152,16.5812,50,2,-0.0071,6.3362,8.1253
324,1L2Y,1,113.86,29.791,19.6757,50,0,0,0,0
325,1L2Y,1,122.98,32.9267,11.3081,50,1,0,0,0
326,1L2Y,1,107.62,37.6065,20.7409,50,2,0,0,0
327,1L2Y,1,98.48,42.1791,13.7868,50,2,0,0,0
328,1L2Y,1,153.0,296.2861,16.4828,50,0,-0.0099,5.7338,8.125
329,1L2Y,1,97.56,135.9251,14.2704,50,2,0,0,0
330,1L2Y,1,154.96,32.2891,15.1132,50,2,0,0,0
331,1L2Y,1,102.7,236.735,15.5884,50,2,0,0,0
332,1L2Y,1,96.62,39.8473,14.8483,50,2,0,0,0
333,1L2Y,1,146.9,64.4568,14.7371,50,3,-0.0151,5.1585,8.125
334,1L2Y,1,112.28,31.3264,12.1466,50,1,0,0,0
335,1L2Y,1,160.58,31.2855,22.315,50,2,0,0,0
336,1L2Y,1,152.22,35.3871,13.0679,50,0,0,0,0
337,1L2Y,1,119.98,42.2377,15.3858,50,0,0,0,0
338,1L2Y,1,-7.0,203.8317,12.675,6,4,0,0,0
339,1L2Y,1,115.86,40.8869,15.3614,50,1,0.0045,3.1336,8.1251
340,1L2Y,1,106.64,45.4392,15.9143,50,0,0,0,0
341,1L2Y,1,106.12,46.3388,13.002,50,2,0,0,0
342,1L2Y,1,82.32,282.6116,10.7749,48,5,0,0,0
343,1L2Y,1,11.72,247.2832,10.8622,16,5,0,0,0
344,1L2Y,1,113.8,27.2246,15.5668,50,2,0,0,0
345,1L2Y,1,109.58,42.5266,18.2827,50,3,-0.01,4.1858,8.1252
346,1L2Y,1,137.32,36.7014,18.8366,50,0,0,0,0
347,1L2Y,1,138.34,30.9285,15.9195,50,1,0,0,0
348,1L2Y,1,135.6,103.1283,9.4731,50,1,0,0,0
349,1L2Y,1,89.8,81.0826,16.3713,50,3,0,0,0
350,1L2Y,1,136.92,36.2276,16.7524,50,0,-0.0241,5.3124,8.1254
351,1L2Y,1,113.72,35.5513,15.3664,50,1,0,0,0
352,1L2Y,1,112.9,46.6005,18.053,50,0,0,0,0
353,1L2Y,1,125.98,32.0714,18.4436,50,1,0,0,0
354,1L2Y,1,151.82,34.9928,12.1918,50,0,0,0,0
355,1L2Y,1,151.98,40.4289,23.2852,50,0,0.0013,3.881,8.1252
356,1L2Y,1,125.32,106.4576,21.4016,50,0,0,0,0
357,1L2Y,1,103.42,128.4789,17.2704,50,4,0,0,0
358,1L2Y,1,94.68,45.33,18.5496,50,0,0,0,0
359,1L2Y,1,109.18,34.9181,18.5996,50,0,0,0,0
360,1L2Y,1,93.6,172.3181,23.3122,50,1,-0.0136,3.5247,8.1252
361,1L2Y,1,130.3,47.4673,12.0367,50,0,0,0,0
362,1L2Y,1,120.5,104.537,8.7601,50,1,0,0,0
363,1L2Y,1,120.3,26.5091,18.046,50,0,0,0,0
364,1L2Y,1,114.98,34.4904,26.858,50,0,0,0,0
365,1L2Y,1,104.3,41.4445,19.3232,50,3,-0.011,4.5791,8.1249
366,1L2Y,1,134.08,48.9125,11.3979,50,0,0,0,0
367,1L2Y,1,90.38,130.0535,11.3199,50,3,0,0,0
368,1L2Y,1,124.16,105.2338,12.2621,50,4,0,0,0
369,1L2Y,1,110.56,41.6229,10.5362,50,3,0,0,0
370,1L2Y,1,89.52,54.8867,8.8504,50,3,-0.0103,3.9321,8.1248
371,1L2Y,1,56.28,49.7369,17.0637,50,1,0,0,0
372,1L2Y,1,119.18,34.9514,16.9776,50,0,0,0,0
373,1L2Y,1,108.82,40.8699,16.4048,50,2,0,0,0
374,1L2Y,1,99.74,146.3491,8.0198,50,2,0,0,0
375,1L2Y,1,68.7,671.8627,10.9153,46,5,0,0,0
376,1L2Y,1,121.26,35.6004,28.3277,50,1,0.0181,8.0654,8.1245
377,1L2Y,1,119.36,40.0049,9.6221,50,0,0,0,0
378,1L2Y,1,100.18,42.3874,24.5242,50,0,0,0,0
379,1L2Y,1,123.5,41.8031,17.7024,50,1,0,0,0
380,1L2Y,1,121.64,38.7563,22.4194,50,3,0,0,0
381,1L2Y,1,134.38,57.0604,18.5319,50,1,0.0085,4.0893,8.1246
382,1L2Y,1,74.98,89.1949,20.5644,50,0,0,0,0
383,1L2Y,1,72.02,128.8569,15.8556,31,5,0,0,0
384,1L2Y,1,115.84,39.4903,20.5661,50,2,0,0,0
385,1L2Y,1,87.38,603.3456,13.1616,50,4,0,0,0
386,1L2Y,1,70.36,157.3698,13.9127,26,5,0,0,0
387,1L2Y,1,125.1,33.9029,19.1034,50,0,-0.0006,5.4189,8.1248
388,1L2Y,1,164.66,304.9832,15.7113,50,0,0,0,0
